feature,importance
location_Ambawadi Ahmedabad,0.0
"location_Aranyam, Shilaj Ahmedabad",0.0
location_Ramdev Nagar Ahmedabad,0.0
"location_Oeuvre 2, Bodakdev Ahmedabad",0.0
"location_Rajyash Regius, Bopal Ahmedabad",0.0
location_Prahlad Nagar Ahmedabad,0.0
"location_PRL Colony, Thaltej Ahmedabad",0.0
"location_Oriental Viola, Ambli Ahmedabad",0.0
"location_Oriental Viola, Ambli Bopal Road Ahmedabad",0.0
"location_Oeuvre 3, Ambli Ahmedabad",0.0
"location_Orchid Blues, Shela Ahmedabad",0.0
"location_Sharanya Skyvue, Thaltej Ahmedabad",0.0
"location_Seventy, Iscon Ambli Road Ahmedabad",0.0
location_Saraspur Ahmedabad,0.0
"location_Sankalp Grace 3, Shilaj Ahmedabad",0.0
location_Sarkhej Ahmedabad,0.0
location_Satellite Ahmedabad,0.0
"location_Satyamev Luxor, Ambli Ahmedabad",0.0
"location_Saujanya II, Khokhra Ahmedabad",0.0
"location_Riviera Majestica, Shela Ahmedabad",0.0
"location_Riviera Palacio, Shela Ahmedabad",0.0
"location_Riviera Woods, Shela Ahmedabad",0.0
"location_SHILP 14, Bodakdev Ahmedabad",0.0
"location_SKYVILLE, Shela Ahmedabad",0.0
"location_SIERRA, Satellite Ahmedabad",0.0
"location_Saanvi Skydeck Select, Ambli Ahmedabad",0.0
"location_Saiyamm Apricus, Ambli Ahmedabad",0.0
"location_Ratnaakar Pristine, Satellite Ahmedabad",0.0
"location_Riviera Elite, Shela Ahmedabad",0.0
"location_Maple Tree Garden Homes, Thaltej Ahmedabad",0.0
"location_Manor Ananda, Ambli Ahmedabad",0.0
location_Nana Chiloda Ahmedabad,0.0
"location_Maruti 360, Bodakdev Ahmedabad",0.0
location_Memnagar Ahmedabad,0.0
location_Sindhu Bhavan Marg Ahmedabad,0.0
"location_Sun Atmosphere, Shela Ahmedabad",0.0
location_Sola Ahmedabad,0.0
"location_Skyros, Bodakdev Ahmedabad",0.0
"location_Shubham Skyz, Bodakdev Ahmedabad",0.0
"location_Shivalik Avenue, Bodakdev Ahmedabad",0.0
"location_Shilp Paradise, Bodakdev Ahmedabad",0.0
"location_Shilp Ananta, Shela Ahmedabad",0.0
"location_Sheetal Gharana, Ambli Ahmedabad",0.0
"location_The Bellagio, Iscon Ambli Road Ahmedabad",0.0
"location_The 31ST, Shilaj Ahmedabad",0.0
"location_Swati Symphony, Thaltej Ahmedabad",0.0
"location_TIMES 104, Bodakdev Ahmedabad",0.0
"location_Swati Symphony, Drive In Road Ahmedabad",0.0
"location_Swati Senor, Ambli Bopal Road Ahmedabad",0.0
"location_Swati Parkside, Shela Ahmedabad",0.0
"location_Swati Premier, Shantipura Circle Ahmedabad",0.0
